Title,Citations,Author,Publication Title,Publication Year,Item Type,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,Title Duplicate,TA Keyword
A Preliminary Framework for a Social Robot “Sixth Sense”,3,"Cominelli, Lorenzo; Mazzei, Daniele; Carbonaro, Nicola; Garofalo, Roberto; Zaraki, Abolfazl; Tognetti, Alessandro; De Rossi, Danilo","BIOMIMETIC AND BIOHYBRID SYSTEMS, LIVING MACHINES 2016",2016,conferencePaper,978-3-319-42417-0 978-3-319-42416-3,,10.1007/978-3-319-42417-0_6,,"Building a social robot that is able to interact naturally with people is a challenging task that becomes even more ambitious if the robots' interlocutors are children involved in crowded scenarios like a classroom or a museum. In such scenarios, the main concern is enabling the robot to track the subjects' social and affective state modulating its behaviour on the basis of the engagement and the emotional state of its interlocutors. To reach this goal, the robot needs to gather visual and auditory data, but also to acquire physiological signals, which are fundamental for understating the interlocutors' psycho-physiological state. Following this purpose, several Human-Robot Interaction (HRI) frameworks have been proposed in the last years, although most of them have been based on the use of wearable sensors. However, wearable equipments are not the best technology for acquisition in crowded multi-party environments for obvious reasons (e.g., all the subjects should be prepared before the experiment by wearing the acquisition devices). Furthermore, wearable sensors, also if designed to be minimally intrusive, add an extra factor to the HRI scenarios, introducing a bias in the measurements due to psychological stress. In order to overcome this limitations, in this work, we present an unobtrusive method to acquire both visual and physiological signals from multiple subjects involved in HRI. The system is able to integrate acquired data and associate them with unique subjects' IDs. The implemented system has been tested with the FACE humanoid in order to assess integrated devices and algorithms technical features. Preliminary tests demonstrated that the developed system can be used for extending the FACE perception capabilities giving it a sort of sixth sense that will improve the robot empathic and behavioural capabilities.",2016,2021-05-19T13:32:02Z,2021-05-19T13:32:02Z,,58-70,13,,9793,,,,Lecture Notes in Computer Science,,,,SPRINGER INTERNATIONAL PUBLISHING AG,"GEWERBESTRASSE 11, CHAM, CH-6330, SWITZERLAND",English,,,,,,,"Backup Publisher: Convergence Sci Network Biomimet & Neurotechnol; Future Emerging Technologies, European Unions Framework 7 Program; Heriot Watt Univ ISSN: 0302-9743 Type: Proceedings Paper","<p>5th International Conference on Biomimetic and Biohybrid Systems (Living Machines), Edinburgh, SCOTLAND, JUL 19-22, 2016</p>",,,,Affective computing; Behaviour monitoring; Human-Robot Interaction; Social robotics; Synthetic tutor,"Lepora, NF and Mura, A and Mangan, M and Verschure, PFMJ and Desmulliez, M and Prescott, TJ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Affective Loop: A Tool for Autonomous and Adaptive Emotional Human-Robot Interaction,6,"Vircikova, Maria; Magyar, Gergely; Sincak, Peter",ROBOT IN℡LIGENCE TECHNOLOGY ANDAPPLICATIONS 3,2015,conferencePaper,978-3-319-16841-8 978-3-319-16840-1,,10.1007/978-3-319-16841-8_23,,"The paper presents an affective model for social robotics, where the robot is capable of behavior adaptation, in accordance with the needs and preferences of a particular user. The proposed approach differs from other studies in human-robot interaction as these usually have been using the `Wizard of Oz' technique, where a person remotely operates a robot. On the other side, simulated robots are not able of personalized behaviors and behave according to the preprogrammed set of rules. We provide a tool to personalize affective artificial behaviors in cooperative human-robot scenarios, where human emotion recognition, appropriate robotic behavior selection and expression of robotic emotions play a key role. The preliminary experiments show that the personalized affective robotic behavior can achieve better results in a scenario in which a robot motivates children in learning. We believe that human-robot interfaces which mimic how humans interact with one another in an empathic way could ultimately lead to robots being accepted in the wider domain.",2015,2021-05-19T13:32:12Z,2021-05-19T13:32:12Z,,247-254,8,,345,,,,Advances in Intelligent Systems and Computing,,,,SPRINGER-VERLAG BERLIN,"HEIDELBERGER PLATZ 3, D-14197 BERLIN, GERMANY",English,,,,,,,ISSN: 2194-5357 Type: Proceedings Paper,"<p>3rd International Conference on Robot Intelligence Technology and Applications, Beijing, PEOPLES R CHINA, NOV 06-08, 2014</p>",,,,Affective Robotics; Personalization; Social Human-Robot Interaction; Social Robots; Subjective Computing,"Kim, JH and Yang, W and Jo, J and Sincak, P and Myung, H",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social and empathic behaviours: novel interfaces and interaction modalities,6,"Marti, Patrizia; Iacono, Iolanda",2015 24TH IEEE INTERNATIONAL SYMPOSIUM ON ROBOT AND HUMAN INTERACTIVE COMMUNICATION (RO-MAN),2015,conferencePaper,978-1-4673-6704-2,,10.1109/ROMAN.2015.7333634,,"This paper describes the results of a research conducted in the European project Accompany, whose aim is to provide older people with services in a motivating and socially acceptable manner to facilitate independent living at home. The project developed a system consisting of a robotic companion, Care-O-bot, as part of a smart environment. An intensive research was conducted to investigate and experiment with robot behaviours that trigger empathic exchanges between an older person and the robot. The paper is articulated in two parts. The first part illustrates the theory that inspired the development of a context-aware Graphical User Interface (GUI) used to interact with the robot. The GUI integrates an expressive mask allowing perspective taking with the aim to stimulate empathic exchanges. The second part focuses on the user evaluation, and reports the outcomes from three different tests. The results of the first two tests show a positive acceptance of the GUI by the older people. The final test reports qualitative comments by senior participants on the occurrence of empathic exchanges with the robot.",2015,2021-05-19T13:32:14Z,2021-05-19T13:32:14Z,,217-222,6,,,,,,,,,,IEEE,"345 E 47TH ST, NEW YORK, NY 10017 USA",English,,,,,,,Backup Publisher: IEEE; Robot Soc Japan; Korea Robot Soc; IEEE Robot & Automat Soc Type: Proceedings Paper,"<p>24th IEEE International Symposium on Robot and Human Interactive Communication (RO-MAN), Kobe, JAPAN, AUG 31-SEP 04, 2015</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An Empathic Robotic Tutor for School Classrooms: Considering Expectation and Satisfaction of Children as End-Users,22,"Alves-Oliveira, Patricia; Ribeiro, Tiago; Petisca, Sofia; di Tullio, Eugenio; Melo, Francisco S.; Paiva, Ana",SOCIAL ROBOTICS (ICSR 2015),2015,conferencePaper,978-3-319-25554-5 978-3-319-25553-8,,10.1007/978-3-319-25554-5_3,,"Before interacting with a futuristic technology such as a robot, there is a lot of space for the creation of a whole set of expectations towards that interaction. Once that interaction happens, users can be left with a hand full of satisfaction, dissatisfaction, or even a mix of both. To study the possible role of experience as a mediator between expectation and satisfaction, we developed a scale for HRI that measures expectations and satisfaction of the users. Afterwards, we conducted a study with end-users interacting with a social robot. The robot is being developed to be an empathic robotic tutor to be used in real schools, with input from primary end-users (children). Children's expectations and subsequent satisfaction after the interaction with the robotic tutor were analysed. The results can be fed back to the system developers on how well it is being designed for such a target population, and what factors regarding their expectation and satisfaction have shifted after the experience of interaction. By delivering on the children's expectations, we aim to design a robotic tutor that provides enough satisfaction to sustain an enjoyable and natural interaction in the real educational environment.",2015,2021-05-19T13:32:20Z,2021-05-19T13:32:20Z,,21-30,10,,9388,,,,Lecture Notes in Artificial Intelligence,,,,SPRINGER-VERLAG BERLIN,"HEIDELBERGER PLATZ 3, D-14197 BERLIN, GERMANY",English,,,,,,,ISSN: 0302-9743 Type: Proceedings Paper,"<p>7th International Conference on Social Robotics (ICSR), Paris, FRANCE, OCT 26-30, 2015</p>",,,,Expectation; Human-Robot Interaction; Robotic tutor; Satisfaction; User-centered design,"Tapus, A and Andre, E and Martin, JC and Ferland, F and Ammi, M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELEX: A DEep Learning Emotive EXperience: Investigating Empathic HCI,0,"Abate, Andrea F.; Castiglione, Aniello; Nappi, Michele; Passero, Ignazio",Proceedings of the International Conference on Advanced Visual Interfaces,2020,conferencePaper,978-1-4503-7535-1,,10.1145/3399715.3399820,https://doi.org/10.1145/3399715.3399820,"Recent advances in Machine Learning have unveiled interesting possibilities for real-time investigating about user characteristics and expressions like, but not limited to, age, sex, body posture, emotions and moods. These new opportunities lay the foundations for new HCI tools for interactive applications that adopt user emotions as a communication channel.This paper presents an Emotion Controlled User Experience that changes according to user feelings and emotions analysed at runtime. Aiming at obtaining a preliminary evaluation of the proposed ecosystem, a controlled experiment has been performed in an engineering and software development company, where 60 people have been involved as volunteers. The subjective evaluation has been based on a standard questionnaire commonly adopted for measuring user perceived sense of immersion in Virtual Environments. The results of the controlled experiment encourage further investigations strengthen by the analysis of objective performance measurements and user physiological parameters.",2020,2021-05-19T12:52:09Z,2021-05-19T12:52:09Z,,,,,,,,,AVI '20,,,,Association for Computing Machinery,"New York, NY, USA",,,,,,,,"event-place: Salerno, Italy",,,,Computer Vision; Deep Learning; User Emotions; User Experience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Modeling and Simulating Empathic Behavior in Social Assistive Robots,4,"De Carolis, Berardina; Ferilli, Stefano; Palestra, Giuseppe; Carofiglio, Valeria",Proceedings of the 11th Biannual Conference on Italian SIGCHI Chapter,2015,conferencePaper,978-1-4503-3684-0,,10.1145/2808435.2808445,https://doi.org/10.1145/2808435.2808445,"Several studies report successful results on how social assistive robots can be employed as interface in the assisted living domain. In our opinion, to plan their response and interact successfully with people, it is crucial to recognize human emotions. To this aim, features of the prosody of the speech together with facial expressions and gestures may be used to recognize the emotional state of the user. The information gained from these different sources may be fused in order to endow the robot with the capability to reason on the user's affective state. In this paper we describe how this capability has been implemented in the NAO robot and how this allows simulating empathic behaviors in the context of Ambient Assisted Living.",2015,2021-05-19T12:52:10Z,2021-05-19T12:52:10Z,,110–117,8,,,,,,CHItaly 2015,,,,Association for Computing Machinery,"New York, NY, USA",,,,,,,,"event-place: Rome, Italy",,,,Affective Computing; Social Assistive Robots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Sociolinguistic Route to the Characterization and Detection of the Credibility of Events on Twitter,0,"Patro, Jasabanta; Rathore, Pushpendra Singh",Proceedings of the 31st ACM Conference on Hypertext and Social Media,2020,conferencePaper,978-1-4503-7098-1,,10.1145/3372923.3404795,https://doi.org/10.1145/3372923.3404795,"Although Twitter constitutes as one of the primary sources of real-time news with users acting as the sensors updating the content from all across the globe, yet the spread of rumours via Twitter is becoming an increasingly alarming issue and is known to have caused significant damage already. We propose a credibility analysis approach based on the linguistic structure of the tweets. We not only characterize the Twitter events but also predict their perceived credibility of them by a novel deep learning architecture. We use the huge CREDBANK data to conduct our experiments. Some of our exciting findings are that standard LIWC categories like 'negate', 'discrep', 'cogmech', 'swear' and the Empath categories like 'hate', 'poor', 'government', 'worship' and 'swearing-terms' correlate negatively with the credibility of events. While some of our results resonate with the earlier literature others represent novel insights of the fake and legitimate twitter events. Using the above observations and the current deep learning architecture we predict the credibility of an event (a four-class classification problem in our case) with an accuracy of 0.54 that improves the best-known state-of-the-art (current accuracy 0.43) by 26%. A fascinating observation is that even by looking at the first few tweets of an event, it is possible to make the prediction almost as accurate as in the case where the entire volume of tweets is observed.",2020,2021-05-19T12:52:10Z,2021-05-19T12:52:10Z,,241–250,10,,,,,,HT '20,,,,Association for Computing Machinery,"New York, NY, USA",,,,,,,,"event-place: Virtual Event, USA",,,,credibility detection; event credibility; sociolinguistic approach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyrafour: How Two Human Avatars Communicate With Each Other,1,"Encinas, Enrique",Proceedings of the 33rd Annual ACM Conference Extended Abstracts on Human Factors in Computing Systems,2015,conferencePaper,978-1-4503-3146-3,,10.1145/2702613.2726962,https://doi.org/10.1145/2702613.2726962,"Human avatars or physical surrogates are becoming increasingly present in leisure, artistic and business activities that seek to augment the sensory richness available to telepresent participants. While a number of studies have focused on how human avatars relate to other humans, little attention has been paid to the particularities of human avatar to human avatar interaction. This paper examines characteristic features of such interaction through Cyrafour, a playful embodied identity game in which two human avatars clone various conversations generated elsewhere. Such cloning, or speech shadowing, seems to allow for an empathic embodiment of the meaning transmitted and appears to create a frame for further discussion on the topics raised. This project contributes to the study of telepresence with new insights applicable to the design and research of human computer and human robot interfaces.",2015,2021-05-19T12:52:11Z,2021-05-19T12:52:11Z,,109–114,6,,,,,,CHI EA '15,,,,Association for Computing Machinery,"New York, NY, USA",,,,,,,,"event-place: Seoul, Republic of Korea",,,,copresence; cyranoids; embodied cognition; human avatars; personal surrogates; serious games; telepresence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sharing Emotion Described as Text on the Internet by Changing Self-Physiological Perception,1,"Sakurai, Sho; Ban, Yuki; Katsumura, Toki; Narumi, Takuji; Tanikawa, Tomohiro; Hirose, Michitaka",Proceedings of the Fourth International Conference on Human Agent Interaction,2016,conferencePaper,978-1-4503-4508-8,,10.1145/2974804.2974825,https://doi.org/10.1145/2974804.2974825,"Agents like human, such as humanoid robots or avatars can be felt as if they have and communicate and communicate due to manipulation of the bodily information. Meanwhile, as in the case of Internet bot, it is still difficult to communiate the emotion described as text, let alone empathizing due to degradation of information online. The current study proposes a method for experiencing emotion on the Internet by reproducing a mechanism of evoking emotion. This method evokes a number of emotions described on the Web, by changing of self-physiological perception with sensory stimuli. To investigate the feasibility of our method, we made a system named ""Communious Mouse."" This system rewrites the perception of self-skin temperature and pulse in a palm by presenting vibration and thermal stimulation through a mouse device for evoking emotion. The current paper discusses the feasibility of our method based on the obtained feedbacks through an exhibition of the system.",2016,2021-05-19T12:52:56Z,2021-05-19T12:52:56Z,,145–153,9,,,,,,HAI '16,,,,Association for Computing Machinery,"New York, NY, USA",,,,,,,,"event-place: Biopolis, Singapore",,,,a sense of ownership; emotion; online communication; physiological perception; self-perception; theory of mind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Quizmaster: A Pattern Approach to Personalized Interaction Experiences with the MiRo Robot,1,"Pollmann, Kathrin; Ziegler, Daniel",Proceedings of the Conference on Mensch Und Computer,2020,conferencePaper,978-1-4503-7540-5,,10.1145/3404983.3410414,https://doi.org/10.1145/3404983.3410414,"In Human-Robot Interaction, personalization has been proposed as a strategy to increase acceptance for social robots. The present paper describes how behavioral design patterns can be used to tailor the interaction experience to the individual user's characteristics and needs. To demonstrate this approach, we designed a quiz game application for the MiRo robot. The robot acts as the quizmaster and shows different behaviors (coach-like/empathic vs. challenging/provocative) depending on the type of user who is playing the game (community-focused vs. competition-focused player). We describe the process of creating the two quizmaster personalities and related behavioral patterns as well as the technical background for integrating them with the interaction model for the quiz game. The result is a Wizard-of-Oz demonstration of the personalizable quiz game that is accompanied by an interactive video prototype remote for user studies and demo purposes.",2020,2021-05-19T12:52:57Z,2021-05-19T12:52:57Z,,485–489,5,,,,,,MuC '20,,,,Association for Computing Machinery,"New York, NY, USA",,,,,,,,"event-place: Magdeburg, Germany",,,,behavioral patterns; multimodal behavioral expressions; personalized human-robot interaction; social robot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Social Robot System for Modeling Children's Word Pronunciation: Socially Interactive Agents Track,23,"Spaulding, Samuel; Chen, Huili; Ali, Safinah; Kulinski, Michael; Breazeal, Cynthia",Proceedings of the 17th International Conference on Autonomous Agents and MultiAgent Systems,2018,conferencePaper,,,https://par.nsf.gov/biblio/10072816,,"Autonomous educational social robots can be used to help promote literacy skills in young children. Such robots, which emulate the emotive, perceptual, and empathic abilities of human teachers, are capable of replicating some of the benefits of one-on-one tutoring from human teachers, in part by leveraging individual student's behavior and task performance data to infer sophisticated models of their knowledge. These student models are then used to provide personalized educational experiences by, for example, determining the optimal sequencing of curricular material. In this paper we introduce an integrated system for autonomously analyzing and assessing children's speech and pronunciation in the context of an interactive word game between a social robot and a child. We present a novel game environment and its computational formulation, an integrated pipeline for capturing and analyzing children's speech in real-time, and an autonomous robot that models children's word pronunciation via Gaussian Process Regression (GPR), augmented with an Active Learning protocol that informs the robot's behavior. We show that the system is capable of autonomously assessing children's pronunciation ability, with ground truth determined by a post-experiment evaluation by human raters. We also compare phoneme- and word-level GPR models and discuss trade-offs of each approach in modeling children's pronunciation. Finally, we describe and analyze a pipeline for automatic analysis of children's speech and pronunciation, including an evaluation of SpeechAce as a tool for future development of autonomous, speech-based language tutors.",2018,2021-05-19T12:52:57Z,2021-05-19T12:52:57Z,,1658–1666,9,,,,,,AAMAS '18,,,,International Foundation for Autonomous Agents and Multiagent Systems,"Richland, SC",,,,,,,,"event-place: Stockholm, Sweden",,,,gaussian processl; human-robot interaction; intelligent tutoring systems; social robot; speech-based systems; student modeling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drone in Love: Emotional Perception of Facial Expressions on Flying Robots,0,"Herdel, Viviane; Kuzminykh, Anastasia; Hildebrandt, Andrea; Cauchard, Jessica R.",Proceedings of the 2021 CHI Conference on Human Factors in Computing Systems,2021,conferencePaper,978-1-4503-8096-6,,10.1145/3411764.3445495,https://doi.org/10.1145/3411764.3445495,"Drones are rapidly populating human spaces, yet little is known about how these flying robots are perceived and understood by humans. Recent works suggested that their acceptance is predicated upon their sociability. This paper explores the use of facial expressions to represent emotions on social drones. We leveraged design practices from ground robotics and created a set of rendered robotic faces that convey basic emotions. We evaluated individuals’ response to these emotional facial expressions on drones in two empirical studies (N = 98, N = 98). Our results demonstrate that individuals accurately recognize five drone emotional expressions, as well as make sense of intensities within emotion categories. We describe how participants were emotionally affected by the drone, showed empathy towards it, and created narratives to interpret its emotions. As a consequence, we formulate design recommendations for social drones and discuss methodological insights on the use of static versus dynamic stimuli in affective robotics studies.",2021,2021-05-19T12:53:15Z,2021-05-19T12:53:15Z,,,,,,,,,CHI '21,,,,Association for Computing Machinery,"New York, NY, USA",,,,,,,,"event-place: Yokohama, Japan",,,,Affective Computing; Anthropomorphism; Emotion Recognition; Facial Expressions; Human-Drone Interaction; Robot; UAV.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballbit Adventure: A Physical Game for a Collaborative Racing,2,"Kuang, Quincy; Zhang, Jiaxin; Druga, Stefania",Extended Abstracts of the Annual Symposium on Computer-Human Interaction in Play Companion Extended Abstracts,2019,conferencePaper,978-1-4503-6871-1,,10.1145/3341215.3356982,https://doi.org/10.1145/3341215.3356982,"Playtime accounts for one of the most critical learning periods for children, as they learn how to interact and socialize with their playmates. In this paper, we present a new kind of cooperation-based physical game called Ballbit Adventure. Our game provides a collaborative environment for children to communicate, cooperate, and empathize through solving challenges in an interactive maze. Each player must drive a robotic ball and work together to complete different tasks that would ultimately lead them to the finish line. Through the format of a physical racing game, Ballbit Adventure hopes to show the value of face-to-face play experience to counterbalance the disconnected online interactions that children have with video games.",2019,2021-05-19T12:53:16Z,2021-05-19T12:53:16Z,,97–103,7,,,,,,CHI PLAY '19 Extended Abstracts,,,,Association for Computing Machinery,"New York, NY, USA",,,,,,,,"event-place: Barcelona, Spain",,,,cooperation based game; hybrid game; social gaming; strategic gameplay; tangible interaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detection of Real-World Driving-Induced Affective State Using Physiological Signals and Multi-View Multi-Task Machine Learning,1,"Lopez-Martinez, Daniel; El-Haouij, Neska; Picard, Rosalind",2019 8th International Conference on Affective Computing and Intelligent Interaction Workshops and Demos (ACIIW),2019,conferencePaper,,,10.1109/ACIIW.2019.8925190,,"Affective states have a critical role in driving performance and safety. They can degrade driver situation awareness and negatively impact cognitive processes, severely diminishing road safety. Therefore, detecting and assessing drivers' affective states is crucial in order to help improve the driving experience, and increase safety, comfort and well-being. Recent advances in affective computing have enabled the detection of such states. This may lead to empathic automotive user interfaces that account for the driver's emotional state and influence the driver in order to improve safety. In this work, we propose a multiview multi-task machine learning method for the detection of driver's affective states using physiological signals. The proposed approach is able to account for inter-drive variability in physiological responses while enabling interpretability of the learned models, a factor that is especially important in systems deployed in the real world. We evaluate the models on three different datasets containing real-world driving experiences. Our results indicate that accounting for drive-specific differences significantly improves model performance.",2019-09,2021-05-19T12:41:49Z,2021-05-19T12:41:49Z,,356-361,6,,,,,,,,,,,,,,,,,,,,,,,Affective State; Databases; Feature extraction; Heart rate; Machine learning; Multi-task Multi-view Machine Learning; Physiological data; Physiology; Real-world driving; Stress; Vehicles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incorporating politeness across languages in customer care responses: Towards building a multi-lingual empathetic dialogue agent,0,"Firdaus, M.; Ekbal, A.; Bhattacharyya, P.","LREC 2020 - 12th International Conference on Language Resources and Evaluation, Conference Proceedings",2020,conferencePaper,979-10-95546-34-4,,https://aclanthology.org/2020.lrec-1.514,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096584871&partnerID=40&md5=7e8e8d8f2bef5ac7638ad3b967c8b7f7,"Customer satisfaction is an essential aspect of customer care systems. It is imperative for such systems to be polite while handling the customer requests or demands. In this paper, we present a large multi-lingual conversational dataset for English and Hindi. We choose data from Twitter having both generic and courteous responses between customer care agents and aggrieved users. We also propose strong baselines that can induce courteous behaviour in generic customer care response in a multi-lingual scenario. We build a deep learning framework that can simultaneously handle different languages and incorporate polite behaviour in the customer care agent's responses. Our system is competent in generating responses in different languages (here, English and Hindi) depending on the customer's preference and also is able to converse with humans in an empathetic manner to ensure customer satisfaction and retention. Experimental results show that our proposed models can converse in both the languages and the information shared between the languages helps in improving the performance of the overall system. Qualitative and quantitative analysis show that the proposed method can converse in an empathetic manner by incorporating courteousness in the responses and hence increasing customer satisfaction. © European Language Resources Association (ELRA), licensed under CC-BY-NC",2020,2021-05-19T13:26:18Z,2021-05-19T13:26:18Z,,4172-4182,11,,,,,,,,,,European Language Resources Association (ELRA),,English,,,,,,,,"<p>cited By 0; Conference of 12th International Conference on Language Resources and Evaluation, LREC 2020 ; Conference Date: 11 May 2020 Through 16 May 2020; Conference Code:164155</p>",,,Customer care; Customer care systems; Customer satisfaction; Deep learning; Information shared; Large dataset; Learning frameworks; Linguistics; Qualitative and quantitative analysis; Sales,,"Calzolari N., Piperidis S., Bechet F., Blache P., Choukri K., Cieri C., Declerck T., Goggi S., Isahara H., Maegaard B., Mariani J., Mazo H., Moreno A., Odijk J.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emotion Differentiation based on Decision-Making in Emotion Model,2,"Hieida, C.; Horii, T.; Nagai, T.",RO-MAN 2018 - 27th IEEE International Symposium on Robot and Human Interactive Communication,2018,conferencePaper,978-1-5386-7980-7,,10.1109/ROMAN.2018.8525579,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058082859&doi=10.1109%2fROMAN.2018.8525579&partnerID=40&md5=a8b97edffc128454fce9f7f211968e30,"Having emotions is essential for robots in order for them to understand and sympathize with people's feelings. In addition, it may allow robots to be accepted in human society. The role of emotions in decision-making is another important perspective. In this paper, a model of emotions is proposed based on various neurological and psychological findings related to empathic communication between humans and robots. Subsequently, a decision-making mechanism based on affects using convolutional long short-term memory and deep deterministic policy gradient is examined. We set a 'facial expression' task simulating mother-child interactions and verified emotion differentiation during the task. © 2018 IEEE.",2018,2021-05-19T13:26:28Z,2021-05-19T13:26:28Z,,659-665,7,,,,,,,,,,Institute of Electrical and Electronics Engineers Inc.,,English,,,,,,,,"<p>cited By 1; Conference of 27th IEEE International Symposium on Robot and Human Interactive Communication, RO-MAN 2018 ; Conference Date: 27 August 2018 Through 31 August 2018; Conference Code:142166</p>",,,Behavioral research; Decision making; Decision-making mechanisms; Emotion modeling; Facial Expressions; Human society; Policy gradient; Robots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emotion-recognition from speech-based interaction in AAL environment,1,"De Carolis, B.; Ferilli, S.; Palestra, G.; Redavid, D.",CEUR Workshop Proceedings,2017,conferencePaper,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016315295&partnerID=40&md5=48d39fe986e3c8fb67cf9285e325457c,"In Ambient Assisted Living environments assistance and care are delegated to the intelligence embedded in the environment that, in our opinion, should provide not only a task-oriented support but also an interface able to establish a social empathic relation with the user. To this aim social assistive robots are being employed as a mediator interface and, in order to achieve a relation with the user, they should be endowed with the capability of recognizing the user affective state. Since a natural way to interact with a robot is speech, spoken user's input can be used to give to the robot the capability of recognizing the emotions and attitude of the user, thus providing more detail information about the user state. This paper focuses on this topic and proposes an approach based on the dimensional model of emotions in which the valence and arousal of user's spoken input are recognized. The experimental analysis shows the performance in terms of accuracy of the proposed approach on an Italian dataset. In order to show its application in the context of Ambient Assisted Living, an example is provided. © 2017, CEUR-WS. All rights reserved.",2017,2021-05-19T13:26:37Z,2021-05-19T13:26:37Z,,92-104,13,,1803,,,,,,,,CEUR-WS,,English,,,,,,,ISSN: 16130073,"<p>cited By 1; Conference of 2nd Italian Workshop on Artificial Intelligence for Ambient Assisted Living, AI*AAL.it 2016 ; Conference Date: 28 November 2016; Conference Code:126783</p>",,,Affective state; Ambient assisted living; Ambient intelligence; Artificial intelligence; Assisted living; Assistive robots; Deep neural networks; Dimensional model; Emotion recognition from speech; Experimental analysis; Interface states; ITS applications; Robots; Speech recognition; Task-oriented,,"Bandini S., Cortellessa G., Palumbo F.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Designing a robotic interface for children: The MOnarCH robot example,4,"Ferreira, M.I.A.; Sequeira, J.S.","Advances in Cooperative Robotics: Proceedings of the 19th International Conference on Climbing and Walking Robots and the Support Technologies for Mobile Machines, CLAWAR 2016",2016,conferencePaper,978-981-314-912-0,,10.1142/9789813149137_0076,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84999663794&doi=10.1142%2f9789813149137_0076&partnerID=40&md5=7de84e5ccd68ae2c76e5f3801431a3f9,"The development of an empathic link between oneself and the Other is a fundamental part of interpersonal relationships determining the establishment of effective social and affective links that are the grounding basis of successful communication and cooperation on which the cohesion of human societies depend and on which harmonious global personal development also stands. The design of efficient robotic interfaces for interaction with people, namely with children, depends on the development of expressive elements to be present in the appearance of robots and in the way they address and interact with people, i.e. on the definition of a set of socially behaviours identified as communication enhancers. The present paper reflects how the previous assumptions have determined the process that led to the construction of the MOnarCH robots and some of its design options. © 2016, World Scientific Publishing Co. Pte Ltd. All rights reserved.",2016,2021-05-19T13:26:41Z,2021-05-19T13:26:41Z,,652-659,8,,,,,,,,,,World Scientific Publishing Co. Pte Ltd,,English,,,,,,,,"<p>cited By 1; Conference of 19th International Conference on Climbing and Walking Robots and the Support Technologies for Mobile Machines, CLAWAR 2016 ; Conference Date: 12 September 2016 Through 14 September 2016; Conference Code:185329</p>",,,Children/robot interaction; Communication; Designing for interaction; Economic and social effects; Expressiveness; Human society; Interpersonal relationship; Machine design; Mobile robots; Personal development; Robotic interface; Robotics; Social robotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
