Title,Citations,Type of publication,Journal/conference name,Year,Country (funding affiliation),Field(s),"Meets inclusion criteria (contains methods/study/model, is not a survey, implements empathetic AI)",Out-of-scope (0),NOTES,Domain,Category,Hypothesis,Context dependence,NOTES,Definition used (NOT systematic),Definition implemented,Domain of empathy,Study design,Measurement method,Studying human's  or robot's response?,NOTES,Modalities,Quantity of data,NOTES,Embodiment,Application space,Approach,Definition,Domain,NOTES,Methodology,Control group,Treatment group,Subject handling,NOTES,Type of baseline,Performance metric,Validation procedure,Statistical testing,Comparison of results,NOTES,Dataset,Code,NOTES
Towards a Multimodal Time-Based Empathy Prediction System,1,conferencePaper,2019 14TH IEEE INTERNATIONAL CONFERENCE ON AUTOMATIC FACE AND GESTURE RECOGNITION (FG 2019),2019,ES;UK,,1,,Country=authors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
DYNECOM: Augmenting Empathy in VR with Dyadic Synchrony Neurofeedback,3,conferencePaper,PROCEEDINGS OF THE 52ND ANNUAL HAWAII INTERNATIONAL CONFERENCE ON SYSTEM SCIENCES,2019,FI,,1,,Country=authors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
"A Cross-Country Comparison of Attitudes toward Humanoid Robots in Germany, the US, and India",4,conferencePaper,PROCEEDINGS OF THE 52ND ANNUAL HAWAII INTERNATIONAL CONFERENCE ON SYSTEM SCIENCES,2019,DE,,0,,Country=authors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Inducing Bystander Interventions During Robot Abuse with Social Mechanisms,27,conferencePaper,HRI `18: PROCEEDINGS OF THE 2018 ACM/IEEE INTERNATIONAL CONFERENCE ON HUMAN-ROBOT INTERACTION,2018,US,abuse; bullying; empathy; Human-robot interaction; peer intervention; robots,1,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Touch Your Heart: A Tone-aware Chatbot for Customer Care on Social Media,56,conferencePaper,PROCEEDINGS OF THE 2018 CHI CONFERENCE ON HUMAN FACTORS IN COMPUTING SYSTEMS (CHI 2018),2018,US,Chatbot; Customer Care; Deep Learning; Social Media,1,,Country=authors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Stacked Deep Convolutional Auto-Encoders for Emotion Recognition from Facial Expressions,38,conferencePaper,2017 INTERNATIONAL JOINT CONFERENCE ON NEURAL NETWORKS (IJCNN),2017,UK,,1,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Robot as Tutee,5,conferencePaper,ROBOTICS IN EDUCATION: RESEARCH AND PRACTICES FOR ROBOTICS IN STEM EDUCATION,2017,SE,Robot tutee; Robotics; Role-model learner; Teachable agent; Tutoring,1,,Country=authors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Zara Returns: Improved Personality Induction and Adaptation by an Empathetic Virtual Agent,14,conferencePaper,PROCEEDINGS OF THE 55TH ANNUAL MEETING OF THE ASSOCIATION FOR COMPUTATIONAL LINGUISTICS (ACL 2017): SYSTEM DEMONSTRATIONS,2017,HK,,1,,Country=authors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Emotion Recognition Using Facial Expression Images for a Robotic Companion,6,conferencePaper,"ENGINEERING APPLICATIONS OF NEURAL NETWORKS, EANN 2016",2016,UK,Emotion recognition; Gabor filter; Image classification; Neural networks; Social robots; Support Vector Machine,1,,Country=authors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Analyzing Human-Avatar Interaction with Neurotypical and not Neurotypical Users,1,conferencePaper,"UBIQUITOUS COMPUTING AND AMBIENT IN℡LIGENCE, UCAMI 2016, PT I",2016,EU,Affective avatar; Affective computing; Cognitive disabilities; Empathy; Human-avatar interaction; Social communication disorder,1,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Human-Robot Interactoin Design for Robot-Assisted Intervention for Children with Autism Based on E-S Theory,8,conferencePaper,"2016 8TH INTERNATIONAL CONFERENCE ON IN℡LIGENT HUMAN-MACHINE SYSTEMS AND CYBERNETICS (IHMSC), VOL. 2",2016,CN,autism therapy; Empathizing-Systemizing (E-S) theory; Human Robot Interaction (HRI); social robot,1,,Country=authors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
An Interdisciplinary Approach to Improving Cognitive Human-Robot Interaction - A Novel Emotion-Based Model,5,conferencePaper,WHAT SOCIAL ROBOTS CAN AND SHOULD DO,2016,ES,ELS aspects; emotions; human-robot interaction (HRI); social robot design; social robots,1,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Ethically-Guided Emotional Responses for Social Robots: Should I Be Angry?,17,conferencePaper,"SOCIAL ROBOTICS, (ICSR 2016)",2016,AU,Appraisal compensation; Appraisal theory; EEGS; Ethical emotion; Social robots,1,,Country=authors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Affect-Aware Student Models for Robot Tutors,41,conferencePaper,AAMAS'16: PROCEEDINGS OF THE 2016 INTERNATIONAL CONFERENCE ON AUTONOMOUS AGENTS & MULTIAGENT SYSTEMS,2016,US,affective computing; child-robot interaction; educational robots; socially assistive robots,1,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
A Preliminary Framework for a Social Robot “Sixth Sense”,3,conferencePaper,"BIOMIMETIC AND BIOHYBRID SYSTEMS, LIVING MACHINES 2016",2016,EU,Affective computing; Behaviour monitoring; Human-Robot Interaction; Social robotics; Synthetic tutor,1,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
The Affective Loop: A Tool for Autonomous and Adaptive Emotional Human-Robot Interaction,6,conferencePaper,ROBOT IN℡LIGENCE TECHNOLOGY ANDAPPLICATIONS 3,2015,EU,Affective Robotics; Personalization; Social Human-Robot Interaction; Social Robots; Subjective Computing,1,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Social and empathic behaviours: novel interfaces and interaction modalities,6,conferencePaper,2015 24TH IEEE INTERNATIONAL SYMPOSIUM ON ROBOT AND HUMAN INTERACTIVE COMMUNICATION (RO-MAN),2015,EU,,1,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
An Empathic Robotic Tutor for School Classrooms: Considering Expectation and Satisfaction of Children as End-Users,22,conferencePaper,SOCIAL ROBOTICS (ICSR 2015),2015,EU; PT,Expectation; Human-Robot Interaction; Robotic tutor; Satisfaction; User-centered design,1,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
DELEX: A DEep Learning Emotive EXperience: Investigating Empathic HCI,0,conferencePaper,Proceedings of the International Conference on Advanced Visual Interfaces,2020,IT,,1,,Country=authors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Modeling and Simulating Empathic Behavior in Social Assistive Robots,4,conferencePaper,Proceedings of the 11th Biannual Conference on Italian SIGCHI Chapter,2015,IT,"Human-centered computing,User models,Human-centered computing,Natural language interfaces",1,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
A Sociolinguistic Route to the Characterization and Detection of the Credibility of Events on Twitter,0,conferencePaper,Proceedings of the 31st ACM Conference on Hypertext and Social Media,2020,IN,,1,1, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Cyrafour: How Two Human Avatars Communicate With Each Other,1,conferencePaper,Proceedings of the 33rd Annual ACM Conference Extended Abstracts on Human Factors in Computing Systems,2015,DK,Embodied Cognition; Cyranoids; Human Avatars; Serious; Games; Telepresence; Copresence; Personal Surrogates,1,,Country=authors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Sharing Emotion Described as Text on the Internet by Changing Self-Physiological Perception,1,conferencePaper,Proceedings of the Fourth International Conference on Human Agent Interaction,2016,JP,Emotion; self-perception; physiological perception; a sense of ownership; theory of mind; online communication,1,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Personal Quizmaster: A Pattern Approach to Personalized Interaction Experiences with the MiRo Robot,1,conferencePaper,Proceedings of the Conference on Mensch Und Computer,2020,DE,"social robot, behavioral patterns, multimodal behavioral expressions,personalized Human-Robot Interaction",1,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
A Social Robot System for Modeling Children's Word Pronunciation: Socially Interactive Agents Track,23,conferencePaper,Proceedings of the 17th International Conference on Autonomous Agents and MultiAgent Systems,2018,US,Social robot; Student Modeling; Human-Robot Interaction; Speechbased; Systems; Intelligent Tutoring Systems,1,1, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Drone in Love: Emotional Perception of Facial Expressions on Flying Robots,0,conferencePaper,Proceedings of the 2021 CHI Conference on Human Factors in Computing Systems,2021,IL;DE;CA,"Human-Drone Interaction, Afective Computing, Emotion Recognition, Facial Expressions, Anthropomorphism, Robot, UAV",1,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Ballbit Adventure: A Physical Game for a Collaborative Racing,2,conferencePaper,Extended Abstracts of the Annual Symposium on Computer-Human Interaction in Play Companion Extended Abstracts,2019,US,Cooperation based game; Social Gaming; Tangible Interaction; Hybrid game; Strategic Gameplay.,1,1, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Detection of Real-World Driving-Induced Affective State Using Physiological Signals and Multi-View Multi-Task Machine Learning,1,conferencePaper,2019 8th International Conference on Affective Computing and Intelligent Interaction Workshops and Demos (ACIIW),2019,US,,1,,Country=authors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Incorporating politeness across languages in customer care responses: Towards building a multi-lingual empathetic dialogue agent,0,conferencePaper,"LREC 2020 - 12th International Conference on Language Resources and Evaluation, Conference Proceedings",2020,IN,"Courteous, Response generation, Deep Learning, Multilingualism",1,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Emotion Differentiation based on Decision-Making in Emotion Model,2,conferencePaper,RO-MAN 2018 - 27th IEEE International Symposium on Robot and Human Interactive Communication,2018,JP,,1,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Emotion-recognition from speech-based interaction in AAL environment,1,conferencePaper,CEUR Workshop Proceedings,2017,IT,,1,,Country=authors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,
Designing a robotic interface for children: The MOnarCH robot example,4,conferencePaper,"Advances in Cooperative Robotics: Proceedings of the 19th International Conference on Climbing and Walking Robots and the Support Technologies for Mobile Machines, CLAWAR 2016",2016,EU,,0,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Recognition and expression of emotions by a symbiotic android head,6,conferencePaper,IEEE-RAS International Conference on Humanoid Robots,2015,ES,,1,,Country=authors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Towards an empathic social robot for ambient assisted living,7,conferencePaper,CEUR Workshop Proceedings,2015,IT,,1,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Affective Internet of Things: Mimicking human-like personality in designing smart-objects,15,conferencePaper,"IEEE World Forum on Internet of Things, WF-IoT 2015 - Proceedings",2015,IT,"object,affective internet of things, smart object",0,1, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Artificial Empathy for Clinical Companion Robots with Privacy-By-Design,0,conferencePaper,"Lecture Notes of the Institute for Computer Sciences, Social-Informatics and Telecommunications Engineering, LNICST",2021,"CA,MX",Companion robots · Mental health · Privacy-by-design ·Automatic speech recognition · Artificial intelligence · Artificial empathy,1,,Country=authors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Neurophysiological indices of human social interactions between humans and robots,2,conferencePaper,Communications in Computer and Information Science,2017,US,HCI  HRI  Social interaction  Robots  Mu  EEG  Eye tracking,0,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
MuDERI: Multimodal database for emotion recognition among intellectually disabled individuals,6,conferencePaper,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),2016,,Socially assistive robotics · Intellectual disability · Robot assisted therapy · SAR · RAT · ID,0,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
A composite framework for supporting user emotion detection based on intelligent taxonomy handling,0,journalArticle,LOGIC JOURNAL OF THE IGPL,2021,IT,affective AI; human-robot interaction; Taxonomies,1,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Visual similarity and psychological closeness are neurally dissociable in the brain response to vicarious pain,1,journalArticle,CORTEX,2020,,Affective; Empathy; fMRI; Pain; Sensorimotor,0,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
An Open-Source Social Robot Based on Compliant Soft Robotics for Therapy with Children with ASD,0,journalArticle,ACTUATORS,2020,,autism spectrum disorder; autism therapy; compliant mechanisms; physical interaction; robot design; series elastic actuators; social assistive robotics,0,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
A Robot Has a Mind of Its Own Because We Intuitively Share It,0,journalArticle,APPLIED SCIENCES-BASEL,2020,,affective mind; empathy; facial expression; pain; robot (virtual agent),0,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Artificial Intelligence and Robotics in Nursing: Ethics of Caring as a Guide to Dividing Tasks Between AI and Humans,2,journalArticle,NURSING PHILOSOPHY,2020,,artificial intelligence; ethics; ethics of caring; nursing; robotics,0,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
"The Design and Implementation of XiaoIce, an Empathetic Social Chatbot",189,journalArticle,COMPUTATIONAL LINGUISTICS,2020,CN,,1,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Empathic responses to unknown others are modulated by shared behavioural traits,1,journalArticle,SCIENTIFIC REPORTS,2020,DE,,0,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Android Pretending to Have Similar Traits of Imagination as Humans Evokes Stronger Perceived Capacity to Feel,1,journalArticle,FRONTIERS IN ROBOTICS AND AI,2019,,interpersonal closeness; mind perception; robot; shared reality; visual imagination,0,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Development of an Effective Information Media Using Two Android Robots,1,journalArticle,APPLIED SCIENCES-BASEL,2019,JP,android robot; human robot interaction; multiple conversation robots; passive social conversation,1,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
"Multimodal Integration of Emotional Signals from Voice, Body, and Context: Effects of (In)Congruence on Emotion Recognition and Attitudes Towards Robots",27,journalArticle,INTERNATIONAL JOURNAL OF SOCIAL ROBOTICS,2019,CH,Believability; Body language; Human-robot interaction; Multi-modal interaction; Robot emotions; Social robots,1,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Hybrid Spiral STC-Hedge Algebras Model in Knowledge Reasonings for Robot Coverage Path Planning and Its Applications,1,journalArticle,APPLIED SCIENCES-BASEL,2019,,hedge algebra; robot coverage path planning; robot knowledge reasonings; simulation of a robot; spiral spanning tree coverage,0,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
A Wearable Skin-Stretching Tactile Interface for Human-Robot and Human-Human Communication,9,journalArticle,IEEE ROBOTICS AND AUTOMATION LETTERS,2019,,affective tactile stimulation; haptics and haptic interfaces; social human-robot interaction; soft robot applications; Wearable robots,1,1, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Application of autoencoders in cyber-empathic design,2,journalArticle,DESIGN SCIENCE,2018,US,empathic design; machine learning; product design; sensors,1,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
An examination of gender differences versus similarities in a virtual world,10,journalArticle,COMPUTERS IN HUMAN BEHAVIOR,2018,,Gender differences; Gender similarities; Virtual reality,0,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Emotional Storytelling Using Virtual and Robotic Agents,28,journalArticle,INTERNATIONAL JOURNAL OF HUMANOID ROBOTICS,2018,PT;KR,emotional affective response; eye blink analysis; facial expression analysis; non-verbal communication; posture analysis; robot and virtual agents; Storytelling,1,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Experiences of a Motivational Interview Delivered by a Robot: Qualitative Study,23,journalArticle,JOURNAL OF MEDICAL INTERNET RESEARCH,2018,PT,computer-assisted therapy; counseling; exercise; motivation; motivational interviewing; person-centered therapy; qualitative research; robotics,1,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Designing the Mind of a Social Robot,21,journalArticle,APPLIED SCIENCES-BASEL,2018,EU,cognitive architecture; human-inspired robot; humanoid; robot mind; social cognition; social robot,1,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Empathizing with Emotional Robot Based on Cognition Reappraisal,7,journalArticle,CHINA COMMUNICATIONS,2017,CN,active field emotion space; emotional regulation; emotional robot; guiding cognitive reappraisal; human-robot interaction,1,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Touch sensor for social robots and interactive objects affective interaction,7,journalArticle,SENSORS AND ACTUATORS A-PHYSICAL,2016,,Affective robotics; Flexible silicone sensor; Tactile interaction; Touch sensor,0,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Can a humanoid face be expressive? A psychophysiological investigation,28,journalArticle,FRONTIERS IN BIOENGINEERING AND BIOTECHNOLOGY,2015,EU,affective computing; emotion perception; expression recognition; facial expressions; humanoid robot; psychophysiological signals; social robots,1,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
empathy is not in our genes,53,journalArticle,Neuroscience & Biobehavioral Reviews,2018,,,0,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Promises and trust in human–robot interaction,0,journalArticle,Scientific Reports,2021,IT,,1,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Ask for code
Empathic responses and moral status for social robots: an argument in favor of robot patienthood based on K. E. Løgstrup,0,journalArticle,AI and Society,2021,,,0,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Can communication with social robots influence how children develop empathy? Best-evidence synthesis,0,journalArticle,AI and Society,2021,,,0,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Enhancing Emotional Support: The Effect of a Robotic Object on Human–Human Support Quality,0,journalArticle,International Journal of Social Robotics,2021,IL,Non-humanoid robots · Human–human robot interaction · Emotional support · Social support · Empathy Caregiving,1,,Country=authors. See video in supplementary material,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Multi-modality Sentiment Analysis in Social Internet of Things based on Hierarchical Attentions and CSATTCN with MBM Network,9,journalArticle,IEEE Internet of Things Journal,2020,CN,Multi-modality; Sentimental analysis;Social internet of things;,1,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Motions with emotions? A phenomenological approach to understanding the simulated aliveness of a robot body,12,journalArticle,Techne: Research in Philosophy and Technology,2019,FI,"companion robots, phenomenology, morphology, simulated aliveness,emotions",1,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
The PAUL Suit©: An experience of ageing,11,journalArticle,Clinical Teacher,2016,,,1,1, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Appearance of a robot affects the impact of its behaviour on perceived trustworthiness and empathy,27,journalArticle,Paladyn,2016,JP,"Human–Robot Interaction, Anthropomorphism,Trust, Empathy, Anxiety",1,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Leveling up: Strategies to achieve integrated cognitive architectures,1,Technical Report,AAAI Fall Symposium - Technical Report,2017,,,0,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Towards the synthetic self: making others perceive me as an other,21,journalArticle,"Paladyn, Journal of Behavioral Robotics",2015,EU,Human-Robot Interaction; Social Robotics; Attention and Emotion; Cognitive Architecture; Behavioral Compositionality,1,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
"Public professionalism in an era of radical transformations: its meaning, challenges, and training",1,journalArticle,Revista de Administração Pública,2017,,,0,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
